i,price,dP,A,D,S,prevA,prevD,prevS,split
1,97,-3,1,-1,3,0,0,0,train
2,97,0,0,0,0,1,-1,3,train
3,98,1,1,1,1,0,0,0,train
4,99,1,1,1,1,1,1,1,train
5,99,0,0,0,0,1,1,1,train
6,98,-1,1,-1,1,0,0,0,train
7,98,0,0,0,0,1,-1,1,train
8,98,0,0,0,0,0,0,0,train
9,98,0,0,0,0,0,0,0,train
10,98,0,0,0,0,0,0,0,train
11,99,1,1,1,1,0,0,0,train
12,98,-1,1,-1,1,1,1,1,train
13,98,0,0,0,0,1,-1,1,train
14,99,1,1,1,1,0,0,0,train
15,98,-1,1,-1,1,1,1,1,train
16,97,-1,1,-1,1,1,-1,1,train
17,97,0,0,0,0,1,-1,1,train
18,98,1,1,1,1,0,0,0,train
19,97,-1,1,-1,1,1,1,1,train
20,97,0,0,0,0,1,-1,1,train
21,98,1,1,1,1,0,0,0,train
22,97,-1,1,-1,1,1,1,1,train
23,101,4,1,1,4,1,-1,1,train
24,100,-1,1,-1,1,1,1,4,train
25,98,-2,1,-1,2,1,-1,1,train
26,98,0,0,0,0,1,-1,2,train
27,96,-2,1,-1,2,0,0,0,train
28,98,2,1,1,2,1,-1,2,train
29,97,-1,1,-1,1,1,1,2,train
30,96,-1,1,-1,1,1,-1,1,train
31,96,0,0,0,0,1,-1,1,train
32,98,2,1,1,2,0,0,0,train
33,99,1,1,1,1,1,1,2,train
34,99,0,0,0,0,1,1,1,train
35,99,0,0,0,0,0,0,0,train
36,102,3,1,1,3,0,0,0,train
37,103,1,1,1,1,1,1,3,train
38,101,-2,1,-1,2,1,1,1,train
39,102,1,1,1,1,1,-1,2,train
40,103,1,1,1,1,1,1,1,train
41,104,1,1,1,1,1,1,1,train
42,105,1,1,1,1,1,1,1,train
43,105,0,0,0,0,1,1,1,train
44,105,0,0,0,0,0,0,0,train
45,105,0,0,0,0,0,0,0,train
46,104,-1,1,-1,1,0,0,0,train
47,105,1,1,1,1,1,-1,1,train
48,107,2,1,1,2,1,1,1,train
49,108,1,1,1,1,1,1,2,train
50,109,1,1,1,1,1,1,1,train
51,106,-3,1,-1,3,1,1,1,train
52,109,3,1,1,3,1,-1,3,train
53,109,0,0,0,0,1,1,3,train
54,109,0,0,0,0,0,0,0,train
55,109,0,0,0,0,0,0,0,train
56,109,0,0,0,0,0,0,0,train
57,109,0,0,0,0,0,0,0,train
58,110,1,1,1,1,0,0,0,train
59,109,-1,1,-1,1,1,1,1,train
60,111,2,1,1,2,1,-1,1,train
61,113,2,1,1,2,1,1,2,train
62,113,0,0,0,0,1,1,2,train
63,113,0,0,0,0,0,0,0,train
64,113,0,0,0,0,0,0,0,train
65,113,0,0,0,0,0,0,0,train
66,114,1,1,1,1,0,0,0,train
67,113,-1,1,-1,1,1,1,1,train
68,114,1,1,1,1,1,-1,1,train
69,117,3,1,1,3,1,1,1,train
70,115,-2,1,-1,2,1,1,3,train
71,117,2,1,1,2,1,-1,2,train
72,116,-1,1,-1,1,1,1,2,train
73,115,-1,1,-1,1,1,-1,1,train
74,114,-1,1,-1,1,1,-1,1,train
75,115,1,1,1,1,1,-1,1,train
76,115,0,0,0,0,1,1,1,train
77,115,0,0,0,0,0,0,0,train
78,114,-1,1,-1,1,0,0,0,train
79,119,5,1,1,5,1,-1,1,train
80,120,1,1,1,1,1,1,5,train
81,120,0,0,0,0,1,1,1,train
82,122,2,1,1,2,0,0,0,train
83,123,1,1,1,1,1,1,2,train
84,120,-3,1,-1,3,1,1,1,train
85,115,-5,1,-1,5,1,-1,3,train
86,119,4,1,1,4,1,-1,5,train
87,117,-2,1,-1,2,1,1,4,train
88,118,1,1,1,1,1,-1,2,train
89,117,-1,1,-1,1,1,1,1,train
90,117,0,0,0,0,1,-1,1,train
91,117,0,0,0,0,0,0,0,train
92,117,0,0,0,0,0,0,0,train
93,118,1,1,1,1,0,0,0,train
94,117,-1,1,-1,1,1,1,1,train
95,116,-1,1,-1,1,1,-1,1,train
96,117,1,1,1,1,1,-1,1,train
97,117,0,0,0,0,1,1,1,train
98,115,-2,1,-1,2,0,0,0,train
99,115,0,0,0,0,1,-1,2,train
100,117,2,1,1,2,0,0,0,train
101,115,-2,1,-1,2,1,1,2,train
102,111,-4,1,-1,4,1,-1,2,train
103,114,3,1,1,3,1,-1,4,train
104,111,-3,1,-1,3,1,1,3,train
105,111,0,0,0,0,1,-1,3,train
106,112,1,1,1,1,0,0,0,train
107,111,-1,1,-1,1,1,1,1,train
108,108,-3,1,-1,3,1,-1,1,train
109,106,-2,1,-1,2,1,-1,3,train
110,108,2,1,1,2,1,-1,2,train
111,108,0,0,0,0,1,1,2,train
112,108,0,0,0,0,0,0,0,train
113,108,0,0,0,0,0,0,0,train
114,108,0,0,0,0,0,0,0,train
115,107,-1,1,-1,1,0,0,0,train
116,107,0,0,0,0,1,-1,1,train
117,109,2,1,1,2,0,0,0,train
118,108,-1,1,-1,1,1,1,2,train
119,108,0,0,0,0,1,-1,1,train
120,108,0,0,0,0,0,0,0,train
121,107,-1,1,-1,1,0,0,0,train
122,109,2,1,1,2,1,-1,1,train
123,111,2,1,1,2,1,1,2,train
124,110,-1,1,-1,1,1,1,2,train
125,109,-1,1,-1,1,1,-1,1,train
126,108,-1,1,-1,1,1,-1,1,train
127,108,0,0,0,0,1,-1,1,train
128,106,-2,1,-1,2,0,0,0,train
129,106,0,0,0,0,1,-1,2,train
130,104,-2,1,-1,2,0,0,0,train
131,105,1,1,1,1,1,-1,2,train
132,105,0,0,0,0,1,1,1,train
133,105,0,0,0,0,0,0,0,train
134,105,0,0,0,0,0,0,0,train
135,105,0,0,0,0,0,0,0,train
136,106,1,1,1,1,0,0,0,train
137,108,2,1,1,2,1,1,1,train
138,108,0,0,0,0,1,1,2,train
139,107,-1,1,-1,1,0,0,0,train
140,107,0,0,0,0,1,-1,1,train
141,107,0,0,0,0,0,0,0,train
142,107,0,0,0,0,0,0,0,train
143,108,1,1,1,1,0,0,0,train
144,109,1,1,1,1,1,1,1,train
