step,mu_hat,sigma_hat,lo95,hi95,VaR99,actual,in_interval
1,-0.5188,1.2239,-2.9641,1.9265,3.6047,-0.6971,True
2,-0.2531,1.2306,-2.7118,2.2056,3.3559,-0.2849,True
3,-0.1226,1.2376,-2.5953,2.3501,3.2431,-1.3394,True
4,-0.0585,1.2411,-2.5381,2.4212,3.1877,-1.8546,True
5,-0.027,1.2468,-2.518,2.4641,3.1706,-0.633,True
6,-0.0115,1.2488,-2.5065,2.4835,3.1601,0.4781,True
7,-0.0039,1.2538,-2.5089,2.5011,3.1652,1.3028,True
8,-0.0002,1.2584,-2.5143,2.514,3.173,1.9401,True
9,0.0017,1.2624,-2.5206,2.5239,3.1814,0.6031,True
10,0.0026,1.2677,-2.5302,2.5353,3.1938,2.1433,True
11,0.003,1.2699,-2.5341,2.5401,3.1988,1.2451,True
12,0.0032,1.275,-2.5442,2.5507,3.2116,-1.47,True
13,0.0033,1.2809,-2.5558,2.5625,3.2263,0.2307,True
14,0.0034,1.2843,-2.5626,2.5693,3.2348,0.5283,True
15,0.0034,1.2845,-2.563,2.5698,3.2354,-1.2199,True
16,0.0034,1.2888,-2.5716,2.5785,3.2463,-1.5785,True
17,0.0034,1.2899,-2.5737,2.5806,3.2489,1.1309,True
18,0.0034,1.2941,-2.582,2.5889,3.2594,-2.2159,True
19,0.0034,1.2931,-2.5801,2.587,3.257,-2.3167,True
20,0.0034,1.297,-2.588,2.5948,3.2669,-1.7541,True
21,0.0034,1.2985,-2.591,2.5979,3.2707,-1.0035,True
22,0.0034,1.3013,-2.5966,2.6034,3.2777,-1.7755,True
23,0.0034,1.3026,-2.5991,2.6059,3.2809,0.9703,True
24,0.0034,1.3011,-2.5961,2.6029,3.2771,3.4398,False
25,0.0034,1.3026,-2.599,2.6059,3.2809,1.9473,True
26,0.0034,1.304,-2.602,2.6089,3.2846,-1.7873,True
27,0.0034,1.3039,-2.6016,2.6085,3.2841,-2.1097,True
28,0.0034,1.3049,-2.6037,2.6106,3.2868,-0.0517,True
29,0.0034,1.3051,-2.604,2.6109,3.2872,-0.1447,True
30,0.0034,1.3107,-2.6153,2.6222,3.3014,1.5535,True
31,0.0034,1.3077,-2.6093,2.6162,3.2939,0.3386,True
32,0.0034,1.3077,-2.6093,2.6162,3.2938,1.4971,True
33,0.0034,1.3081,-2.6101,2.6169,3.2948,0.278,True
34,0.0034,1.3096,-2.6131,2.62,3.2986,-0.3664,True
35,0.0034,1.3135,-2.6208,2.6277,3.3083,1.5016,True
36,0.0034,1.3149,-2.6238,2.6306,3.3121,-1.1905,True
37,0.0034,1.316,-2.626,2.6328,3.3148,-1.2134,True
38,0.0034,1.3206,-2.6351,2.6419,3.3263,-1.3398,True
39,0.0034,1.3207,-2.6353,2.6422,3.3267,-0.945,True
40,0.0034,1.3265,-2.6469,2.6538,3.3412,-2.3872,True
41,0.0034,1.329,-2.6518,2.6586,3.3474,-4.1298,False
42,0.0034,1.3284,-2.6506,2.6575,3.3459,-2.171,True
43,0.0034,1.3344,-2.6626,2.6695,3.3611,-0.3382,True
44,0.0034,1.3303,-2.6545,2.6614,3.3509,1.7635,True
45,0.0034,1.3311,-2.6559,2.6628,3.3527,1.8681,True
46,0.0034,1.3275,-2.6489,2.6558,3.3438,1.1893,True
47,0.0034,1.3274,-2.6486,2.6555,3.3434,1.8532,True
48,0.0034,1.3266,-2.6471,2.654,3.3415,-0.0506,True
49,0.0034,1.3285,-2.6509,2.6578,3.3463,-0.3337,True
50,0.0034,1.326,-2.6459,2.6528,3.34,-1.6537,True
51,0.0034,1.3234,-2.6407,2.6476,3.3334,-0.3858,True
52,0.0034,1.323,-2.6399,2.6468,3.3325,0.6695,True
53,0.0034,1.3248,-2.6435,2.6504,3.337,-0.8228,True
54,0.0034,1.3224,-2.6386,2.6455,3.3308,-0.8226,True
55,0.0034,1.322,-2.6378,2.6447,3.3298,-3.7082,False
56,0.0034,1.3219,-2.6376,2.6445,3.3295,-5.1059,False
57,0.0034,1.3198,-2.6335,2.6404,3.3243,-2.4722,True
58,0.0034,1.3221,-2.6381,2.645,3.3302,-1.5571,True
59,0.0034,1.3211,-2.6361,2.6429,3.3276,-2.0902,True
60,0.0034,1.3196,-2.6331,2.64,3.3238,-1.805,True
