step,mu_hat,sigma_hat,lo95,hi95,VaR99,actual,in_interval
1,-0.6703,0.8338,-2.3362,0.9956,2.8079,0.0039,True
2,-0.3577,0.8451,-2.0462,1.3308,2.5243,-0.1915,True
3,-0.2087,0.8561,-1.9192,1.5019,2.4036,-1.2262,True
4,-0.1377,0.8669,-1.8697,1.5944,2.3602,0.2571,True
5,-0.1038,0.8774,-1.8569,1.6492,2.3533,-0.3008,True
6,-0.0877,0.8877,-1.8613,1.6859,2.3635,-0.0744,True
7,-0.08,0.8977,-1.8737,1.7136,2.3816,0.3641,True
8,-0.0763,0.9075,-1.8896,1.7369,2.4031,2.1808,False
9,-0.0746,0.9171,-1.907,1.7578,2.4259,1.1631,True
10,-0.0738,0.9265,-1.925,1.7774,2.4492,1.9978,False
11,-0.0734,0.9357,-1.9429,1.7962,2.4723,2.0253,False
12,-0.0732,0.9447,-1.9607,1.8144,2.4952,1.5452,True
13,-0.0731,0.9535,-1.9783,1.8321,2.5177,-0.6239,True
14,-0.073,0.9622,-1.9955,1.8494,2.5398,-0.5006,True
15,-0.073,0.9706,-2.0123,1.8663,2.5615,-0.5771,True
16,-0.073,0.9789,-2.0289,1.8829,2.5827,-1.0171,True
17,-0.073,0.987,-2.0451,1.8991,2.6036,-1.5395,True
18,-0.073,0.995,-2.061,1.915,2.624,-0.5303,True
19,-0.073,1.0028,-2.0767,1.9306,2.644,0.7595,True
20,-0.073,1.0105,-2.092,1.946,2.6637,1.1642,True
21,-0.073,1.018,-2.107,1.961,2.683,1.783,True
22,-0.073,1.0254,-2.1218,1.9757,2.7019,-0.7798,True
23,-0.073,1.0326,-2.1362,1.9902,2.7205,-0.6725,True
24,-0.073,1.0397,-2.1505,2.0044,2.7387,0.1532,True
25,-0.073,1.0467,-2.1644,2.0184,2.7566,1.169,True
26,-0.073,1.0536,-2.1781,2.0321,2.7742,0.3072,True
27,-0.073,1.0603,-2.1916,2.0456,2.7915,1.1598,True
28,-0.073,1.0669,-2.2048,2.0588,2.8084,1.0462,True
29,-0.073,1.0734,-2.2178,2.0718,2.8251,-0.1771,True
30,-0.073,1.0798,-2.2306,2.0845,2.8415,0.5095,True
31,-0.073,1.0861,-2.2431,2.0971,2.8576,-1.6154,True
32,-0.073,1.0923,-2.2554,2.1094,2.8734,-1.0883,True
33,-0.073,1.0984,-2.2676,2.1215,2.889,-1.1472,True
34,-0.073,1.1043,-2.2795,2.1335,2.9043,-0.5533,True
35,-0.073,1.1102,-2.2912,2.1452,2.9193,-0.0568,True
36,-0.073,1.116,-2.3027,2.1567,2.9341,-0.7926,True
37,-0.073,1.1216,-2.3141,2.168,2.9486,-1.8738,True
38,-0.073,1.1272,-2.3252,2.1792,2.963,-1.2744,True
39,-0.073,1.1327,-2.3362,2.1902,2.977,0.1028,True
40,-0.073,1.1381,-2.347,2.201,2.9909,1.3315,True
41,-0.073,1.1434,-2.3576,2.2116,3.0045,0.4772,True
42,-0.073,1.1486,-2.368,2.222,3.0179,1.1767,True
43,-0.073,1.1538,-2.3783,2.2323,3.0311,2.9833,False
44,-0.073,1.1589,-2.3884,2.2424,3.0441,4.9129,False
45,-0.073,1.1638,-2.3984,2.2524,3.0569,3.6657,False
46,-0.073,1.1687,-2.4082,2.2622,3.0694,2.7474,False
47,-0.073,1.1736,-2.4179,2.2718,3.0818,0.6319,True
48,-0.073,1.1783,-2.4274,2.2813,3.094,-0.413,True
49,-0.073,1.183,-2.4367,2.2907,3.106,-1.1699,True
50,-0.073,1.1876,-2.4459,2.2999,3.1179,-0.9933,True
51,-0.073,1.1922,-2.455,2.309,3.1295,-0.4592,True
52,-0.073,1.1966,-2.4639,2.3179,3.141,0.3426,True
53,-0.073,1.201,-2.4727,2.3267,3.1523,0.8591,True
54,-0.073,1.2054,-2.4814,2.3354,3.1634,0.9885,True
55,-0.073,1.2097,-2.4899,2.3439,3.1743,-0.453,True
56,-0.073,1.2139,-2.4984,2.3523,3.1851,-0.3865,True
57,-0.073,1.218,-2.5066,2.3606,3.1958,-1.8898,True
58,-0.073,1.2221,-2.5148,2.3688,3.2062,0.2866,True
59,-0.073,1.2261,-2.5229,2.3768,3.2166,2.6047,False
60,-0.073,1.2301,-2.5308,2.3848,3.2267,0.5938,True
