step,mu_hat,sigma_hat,lo95,hi95,VaR99,actual,in_interval
1,0.3695,1.1301,-1.8891,2.6282,2.4981,1.6344,True
2,0.2129,1.1382,-2.0619,2.4877,2.6752,1.2409,True
3,0.1357,1.144,-2.1506,2.422,2.767,-0.2921,True
4,0.0977,1.1528,-2.2062,2.4016,2.8274,0.1998,True
5,0.0789,1.1584,-2.2362,2.3941,2.8604,0.7825,True
6,0.0697,1.1652,-2.2591,2.3985,2.887,1.3751,True
7,0.0651,1.171,-2.2752,2.4055,2.9063,1.3366,True
8,0.0629,1.1748,-2.285,2.4108,2.9181,1.3694,True
9,0.0618,1.1808,-2.2982,2.4218,2.9345,1.9106,True
10,0.0613,1.1899,-2.3168,2.4393,2.9579,2.4533,False
11,0.061,1.1956,-2.3285,2.4505,2.9728,0.1526,True
12,0.0609,1.2061,-2.3496,2.4713,2.9995,-0.0366,True
13,0.0608,1.2129,-2.3633,2.4849,3.0169,-2.3197,True
14,0.0608,1.225,-2.3875,2.509,3.0476,-2.2463,True
15,0.0607,1.2349,-2.4074,2.5289,3.0729,-1.4355,True
16,0.0607,1.2432,-2.4238,2.5453,3.0937,-0.5448,True
17,0.0607,1.2459,-2.4293,2.5508,3.1007,-1.3007,True
18,0.0607,1.2508,-2.439,2.5605,3.1131,-1.265,True
19,0.0607,1.2566,-2.4506,2.5721,3.1278,-0.006,True
20,0.0607,1.2619,-2.4613,2.5828,3.1413,0.3739,True
21,0.0607,1.2659,-2.4692,2.5906,3.1513,0.5273,True
22,0.0607,1.2738,-2.4851,2.6065,3.1715,-0.6109,True
23,0.0607,1.2773,-2.492,2.6135,3.1803,-0.346,True
24,0.0607,1.2877,-2.5128,2.6343,3.2067,1.3508,True
25,0.0607,1.2959,-2.5293,2.6507,3.2276,1.9337,True
26,0.0607,1.3021,-2.5415,2.663,3.2432,-0.1634,True
27,0.0607,1.3062,-2.5498,2.6712,3.2537,-0.0316,True
28,0.0607,1.3102,-2.5578,2.6793,3.2639,0.1086,True
29,0.0607,1.3168,-2.5709,2.6924,3.2805,-0.492,True
30,0.0607,1.3253,-2.5879,2.7093,3.302,-0.1216,True
31,0.0607,1.3355,-2.6083,2.7297,3.3279,0.1644,True
32,0.0607,1.3389,-2.6151,2.7365,3.3365,-1.1944,True
33,0.0607,1.3427,-2.6228,2.7443,3.3464,-0.1307,True
34,0.0607,1.3456,-2.6285,2.75,3.3536,0.425,True
35,0.0607,1.3461,-2.6294,2.7509,3.3548,2.2162,True
36,0.0607,1.3482,-2.6336,2.7551,3.3601,-1.2831,True
37,0.0607,1.3477,-2.6327,2.7542,3.3589,-0.855,True
38,0.0607,1.3493,-2.636,2.7574,3.3631,-0.5998,True
39,0.0607,1.3517,-2.6408,2.7622,3.3692,-0.9406,True
40,0.0607,1.358,-2.6533,2.7747,3.3851,0.2736,True
41,0.0607,1.3629,-2.6631,2.7846,3.3976,1.6836,True
42,0.0607,1.3659,-2.6691,2.7905,3.4051,1.5606,True
43,0.0607,1.3667,-2.6708,2.7922,3.4073,4.2899,False
44,0.0607,1.3715,-2.6804,2.8018,3.4195,5.0233,False
45,0.0607,1.3781,-2.6934,2.8149,3.436,1.5776,True
46,0.0607,1.3816,-2.7004,2.8219,3.4449,-0.0091,True
47,0.0607,1.3826,-2.7024,2.8239,3.4475,0.0448,True
48,0.0607,1.3882,-2.7137,2.8352,3.4618,-1.3857,True
49,0.0607,1.3934,-2.724,2.8455,3.4749,-1.0473,True
50,0.0607,1.3979,-2.7331,2.8545,3.4864,0.0446,True
51,0.0607,1.4039,-2.7451,2.8665,3.5016,-0.2107,True
52,0.0607,1.4031,-2.7435,2.8649,3.4996,-1.0487,True
53,0.0607,1.4039,-2.745,2.8664,3.5015,-1.1565,True
54,0.0607,1.406,-2.7491,2.8706,3.5068,-0.6833,True
55,0.0607,1.4087,-2.7545,2.876,3.5136,-2.3274,True
56,0.0607,1.4136,-2.7644,2.8859,3.5262,0.219,True
57,0.0607,1.4142,-2.7657,2.8872,3.5278,0.6048,True
58,0.0607,1.4135,-2.7642,2.8856,3.5258,0.3646,True
59,0.0607,1.4152,-2.7676,2.889,3.5302,1.0264,True
60,0.0607,1.4192,-2.7756,2.8971,3.5404,-3.8221,False
