t,STK,MKT,split
0,1.385,2.6624,train
1,2.0931,3.2464,train
2,4.2151,3.8747,train
3,5.928,2.6508,train
4,4.7802,2.4728,train
5,3.1591,1.3062,train
6,1.5047,-0.1046,train
7,1.9306,0.3108,train
8,0.8853,0.6783,train
9,1.308,-1.2591,train
10,0.8926,-1.5786,train
11,0.3566,-0.6441,train
12,1.9581,0.6317,train
13,2.5915,2.1071,train
14,4.4359,2.444,train
15,6.4404,1.1903,train
16,7.5302,2.1004,train
17,5.5945,1.0701,train
18,4.5986,2.0142,train
19,4.9533,2.5824,train
20,4.4527,1.9017,train
21,2.8122,0.4711,train
22,1.6591,-0.2892,train
23,2.1698,0.0684,train
24,0.7264,0.5536,train
25,0.8255,1.131,train
26,0.9723,0.5676,train
27,1.2408,1.6594,train
28,0.5667,1.7608,train
29,1.1432,1.9412,train
30,1.371,-0.1633,train
31,2.7599,-0.0374,train
32,3.4199,1.3003,train
33,1.6204,0.0332,train
34,1.3014,0.4526,train
35,2.2963,1.7599,train
36,2.6081,2.6819,train
37,2.9449,2.0821,train
38,2.7995,0.2745,train
39,2.7603,0.4609,train
40,2.9822,2.7954,train
41,3.4849,2.9587,train
42,2.5441,1.2337,train
43,2.5045,1.261,train
44,2.5289,1.4322,train
45,1.7497,1.7329,train
46,3.0012,1.0119,train
47,2.0319,-0.504,train
48,1.8902,-0.8794,train
49,2.2477,0.5382,train
50,3.3432,2.3846,train
51,2.2044,-0.3823,train
52,2.5905,-0.9083,train
53,1.8055,-1.4655,train
54,0.983,-0.5633,train
55,-0.3503,-1.7415,train
56,1.0907,-0.0115,train
57,0.0705,-1.7712,train
58,0.6704,-0.3769,train
59,3.2008,1.9864,train
60,4.4304,1.8651,train
61,4.2782,0.9056,train
62,4.9047,1.5308,train
63,5.5214,2.1007,train
64,4.016,1.064,train
65,4.3154,1.4985,train
66,2.3405,1.3135,train
67,1.4346,1.8922,train
68,1.4872,0.5936,train
69,2.7655,-0.3061,train
70,4.0639,0.1031,train
71,4.3727,-0.5442,train
72,3.8133,-0.6997,train
