step,STK_fc,STK_lo,STK_hi,STK_act,MKT_fc,MKT_lo,MKT_hi,MKT_act
1,0.66,-1.29,2.61,0.207,0.3,-1.71,2.309,-0.267
2,0.636,-1.465,2.737,1.889,0.332,-1.717,2.381,1.588
3,0.693,-1.493,2.879,1.544,0.314,-1.738,2.366,-0.093
4,0.702,-1.485,2.889,1.336,0.304,-1.749,2.356,-0.616
5,0.689,-1.499,2.878,0.782,0.307,-1.746,2.359,-0.497
6,0.686,-1.503,2.874,2.166,0.309,-1.744,2.362,0.007
7,0.688,-1.501,2.877,1.768,0.309,-1.744,2.361,1.643
8,0.689,-1.5,2.878,-0.772,0.308,-1.745,2.361,-0.713
9,0.689,-1.5,2.878,1.751,0.308,-1.745,2.361,1.684
10,0.688,-1.5,2.877,-0.607,0.308,-1.745,2.361,-0.788
11,0.689,-1.5,2.877,-0.867,0.308,-1.745,2.361,-1.636
12,0.689,-1.5,2.877,-0.869,0.308,-1.745,2.361,1.052
