t,STK,MKT,split
0,1.7648,-0.1207,train
1,-0.5128,0.0033,train
2,1.2606,0.2283,train
3,0.6641,-0.0563,train
4,2.6908,-0.3348,train
5,-0.1239,0.1419,train
6,1.4002,0.9766,train
7,1.0577,1.0835,train
8,1.2153,1.2036,train
9,-0.2059,0.2441,train
10,1.5153,0.6688,train
11,2.7321,2.164,train
12,2.7312,-1.1579,train
13,-1.235,1.2399,train
14,0.4544,-0.3663,train
15,3.0562,2.4008,train
16,-0.3328,-0.2327,train
17,2.1,0.9163,train
18,0.6911,0.4199,train
19,-0.4286,-0.1696,train
20,0.5911,0.6137,train
21,1.8699,-0.0015,train
22,1.2305,1.3379,train
23,0.8359,0.8617,train
24,0.8905,-0.1455,train
25,1.1134,0.6486,train
26,2.0996,-0.9799,train
27,-0.327,-0.8063,train
28,0.0589,1.1981,train
29,1.2224,1.3272,train
30,1.5384,-2.0825,train
31,-0.9801,2.1363,train
32,3.3146,1.0106,train
33,-1.1188,1.2127,train
34,-0.0419,-0.7734,train
35,1.7067,0.9422,train
36,-0.1553,-0.5686,train
37,2.3137,0.9223,train
38,-0.9593,-0.3188,train
39,1.4926,0.6379,train
40,0.0631,0.5306,train
41,1.2121,-0.6842,train
42,0.8786,0.9459,train
43,0.9821,-1.0095,train
44,-0.3443,1.0035,train
45,2.2486,1.2006,train
46,0.8567,0.8485,train
47,2.0609,2.1951,train
48,1.5382,-0.603,train
49,1.1271,-0.8797,train
50,0.3504,0.7009,train
51,0.8173,1.0394,train
52,1.1678,-0.9119,train
53,0.2308,0.1066,train
54,0.8838,1.1426,train
55,0.1264,0.5251,train
56,2.823,0.8497,train
57,1.1964,-0.5913,train
58,-0.187,1.4274,train
59,-0.3313,-1.0519,train
60,0.5849,1.5714,train
61,2.7537,0.3097,train
62,0.5555,-1.7188,train
63,1.1234,2.1047,train
64,2.1155,-1.2006,train
65,0.258,0.9256,train
66,-1.8306,-1.358,train
67,1.6485,1.913,train
68,1.4276,-0.1163,train
69,1.2368,0.7634,train
70,0.1601,-0.7655,train
71,1.1059,1.189,train
72,2.825,0.9411,train
73,1.838,1.3906,train
74,1.7039,-0.1411,train
75,-0.5257,-0.129,train
76,2.119,1.3802,train
77,1.4834,0.9105,train
78,1.8466,0.9246,train
79,0.1651,0.4082,train
80,1.4079,1.9863,train
81,1.263,-0.1091,train
82,0.7778,1.3422,train
83,2.2822,1.162,train
84,-0.3836,-1.8372,train
85,1.3072,2.0324,train
86,2.5741,-0.6186,train
87,-0.1546,-0.7229,train
88,-0.3403,0.4478,train
89,2.2418,0.7942,train
90,-0.1921,-0.1462,train
91,2.4259,3.4755,train
92,-0.3545,-1.5963,train
93,1.0383,1.7002,train
94,1.8899,1.7333,train
95,0.2357,-0.615,train
96,0.9023,-0.4796,train
97,0.7166,-0.1339,train
98,2.9202,2.3896,train
99,-0.6685,-1.1122,train
100,2.9309,1.3655,train
101,0.9635,1.1716,train
102,2.0014,1.255,train
103,0.5723,-0.5557,train
104,-0.8559,-0.1822,train
105,1.7478,0.6291,train
106,0.7142,-0.5261,train
107,2.906,1.6009,train
108,-0.9255,-0.7954,train
109,1.0388,1.4722,train
110,-1.1756,-0.4903,train
111,1.3677,0.3437,train
112,2.1864,1.858,train
113,0.1649,-0.3885,train
114,3.0873,2.7852,train
115,1.569,0.0985,train
116,1.664,1.1515,train
117,0.2208,-0.9679,train
118,1.4588,1.5527,train
119,2.1275,0.4517,train
120,1.8584,0.8143,train
121,1.6742,1.4509,train
122,0.1292,-1.046,train
123,0.839,0.6577,train
124,1.9174,0.49,train
125,-0.9834,-0.2007,train
126,3.4387,3.1855,train
127,0.1343,-0.9974,train
128,1.4687,0.3074,train
129,0.4742,0.3078,train
130,-0.0326,-0.4134,train
131,0.725,0.888,train
132,0.0507,0.0179,train
133,0.4622,-0.489,train
134,0.0122,3.8915,train
135,3.6955,1.131,train
136,1.7255,-0.012,train
137,0.7247,0.7056,train
138,1.5016,1.1275,train
139,2.5273,-1.5933,train
140,-0.856,1.5313,train
141,1.0145,0.0636,train
142,2.578,1.5394,train
143,2.3127,0.9907,train
144,0.604,-0.6449,train
145,-1.3461,-0.5328,train
146,1.6502,0.7754,train
147,-0.4583,0.5034,train
148,1.7153,0.5871,train
149,0.2003,1.5223,train
150,3.1799,1.0911,train
151,0.448,0.2598,train
152,2.804,3.719,train
153,1.1495,-1.1758,train
154,-0.9268,2.1633,train
155,1.2577,0.0979,train
156,2.1151,1.8257,train
157,0.3118,-1.896,train
158,1.0304,1.6658,train
159,2.2059,-0.5565,train
160,-0.2934,0.4003,train
161,-0.2622,-0.1348,train
162,2.2337,1.1997,train
163,-0.7273,-0.0663,train
164,2.4553,1.5642,train
165,1.6311,-0.8932,train
166,0.7571,1.6679,train
167,0.6206,-0.034,train
168,0.3472,1.2809,train
169,1.2953,-0.7393,train
170,1.0482,1.0795,train
171,1.6353,0.0376,train
172,-0.1259,0.6516,train
173,3.5775,2.0288,train
174,-1.0232,-0.6427,train
175,0.7445,-1.2781,train
176,0.1089,0.459,train
177,1.5116,2.1934,train
178,2.3397,1.2324,train
179,0.3814,-0.087,train
180,1.1553,1.7367,train
181,0.7303,-0.7814,train
182,2.5866,2.0739,train
183,0.1793,-0.0785,train
184,1.3538,0.775,train
185,1.8023,1.1272,train
186,0.635,-0.3148,train
187,-0.7929,-0.5275,train
188,2.6425,1.7717,train
189,0.0086,-0.3416,train
190,0.3121,0.5423,train
191,3.3914,3.1489,train
192,1.9739,0.7556,train
193,0.5628,-1.195,train
194,0.7756,0.6001,train
195,1.721,1.2165,train
196,0.1832,0.3918,train
197,4.255,1.1441,train
198,0.8894,1.326,train
199,0.6715,-0.6285,train
200,0.8708,0.9959,train
201,1.8347,1.4288,train
202,1.2478,-0.3177,train
203,1.0274,0.4319,train
204,-0.2595,0.8678,train
205,0.9469,-0.9601,train
206,1.0186,-0.5733,train
207,0.4134,1.5173,train
208,0.7283,0.3617,train
209,3.3754,2.8227,train
210,1.5569,0.5682,train
211,0.3189,-0.2688,train
212,0.8646,0.5371,train
213,1.2293,-0.0915,train
214,2.3668,0.6646,train
215,0.5303,1.618,train
216,1.1148,-0.5246,train
217,0.8691,2.436,train
218,2.1192,-0.1175,train
219,1.2907,0.5976,train
220,-1.1323,-0.2756,train
221,2.7634,2.3129,train
222,0.8699,-1.3652,train
223,1.855,1.468,train
224,1.2777,1.6621,train
225,1.3743,0.0759,train
226,0.2349,-0.2385,train
227,1.1358,0.3872,train
228,1.2289,-0.8627,train
229,-0.6545,0.5645,train
230,0.6431,-0.1087,train
231,-0.0452,0.8283,train
232,3.1944,0.4277,train
233,1.3045,-0.1756,train
234,0.3448,-0.9055,train
235,0.9003,1.4125,train
236,0.959,1.504,train
237,1.8415,0.305,train
238,-0.0555,0.004,train
239,0.5837,-0.0881,train
240,2.5875,2.261,train
241,0.9725,0.5652,train
242,-0.4077,-0.4303,train
243,-0.1882,-0.6985,train
244,1.7579,1.551,train
245,1.6355,0.7469,train
246,0.8065,0.2909,train
247,2.3445,2.2795,train
248,-0.6557,-0.8908,train
249,2.7853,1.124,train
250,0.6487,-0.1317,train
251,-0.4928,0.122,train
252,0.9787,0.2828,train
253,-0.4231,-1.166,train
254,0.9847,0.6529,train
255,1.3811,-0.0526,train
256,1.1341,1.4981,train
257,0.876,0.656,train
258,0.929,-0.0677,train
259,0.8198,-0.6488,train
260,0.5047,1.4865,train
261,-0.527,-0.1082,train
262,0.9593,-0.1759,train
263,1.0702,0.8744,train
264,2.2452,0.8163,train
265,2.0465,1.0345,train
266,0.7498,0.8398,train
267,0.1976,-1.2549,train
268,0.9179,1.5614,train
269,1.8749,0.2469,train
270,2.2453,1.1256,train
271,-0.4265,0.7767,train
272,2.6785,-0.037,train
273,1.0911,-0.1395,train
274,0.3803,2.728,train
275,2.8375,0.9511,train
276,1.3704,-0.39,train
277,0.8957,1.2202,train
278,-0.0212,-0.0465,train
279,1.9791,1.116,train
280,1.3176,0.3594,train
281,-0.3014,-0.0106,train
282,-0.4856,-0.8339,train
283,2.6116,3.2543,train
284,1.5264,-2.1803,train
285,1.6083,2.4277,train
286,0.5275,0.6391,train
287,1.8516,-0.4378,train
288,-0.7489,1.0976,train
289,-0.5188,-0.1819,train
290,2.3235,1.803,train
291,2.938,2.1752,train
292,2.3484,1.231,train
293,1.2372,1.143,train
294,1.1564,-0.7039,train
295,0.7559,-0.5439,train
296,0.1297,2.6385,train
297,2.311,0.061,train
298,0.2379,-1.3174,train
299,0.2746,0.3454,train
300,1.0428,0.9937,train
301,1.0067,-1.1673,train
302,2.0284,2.3242,train
303,0.6626,-0.1783,train
