step,STK_fc,STK_lo,STK_hi,STK_act,MKT_fc,MKT_lo,MKT_hi,MKT_act
1,0.634,-1.239,2.507,0.158,0.089,-1.871,2.05,-0.029
2,1.021,-1.027,3.068,0.071,0.488,-1.641,2.618,-0.493
3,1.021,-1.027,3.068,2.061,0.488,-1.641,2.618,1.872
4,1.021,-1.027,3.068,1.714,0.488,-1.641,2.618,1.165
5,1.021,-1.027,3.068,0.621,0.488,-1.641,2.618,0.044
6,1.021,-1.027,3.068,3.02,0.488,-1.641,2.618,1.376
7,1.021,-1.027,3.068,-1.218,0.488,-1.641,2.618,-0.619
8,1.021,-1.027,3.068,1.114,0.488,-1.641,2.618,0.506
9,1.021,-1.027,3.068,1.127,0.488,-1.641,2.618,-0.275
10,1.021,-1.027,3.068,1.133,0.488,-1.641,2.618,0.903
